Size,Bedrooms,Age,Price
1263,5,7,558519
2735,1,24,765321
879,1,15,309436
992,5,11,570165
3612,5,18,1214669
1680,4,23,565531
2562,3,12,962723
564,1,6,246008
3068,3,20,1069182
1867,3,23,631255
1652,5,13,764647
2527,4,20,880524
3195,2,16,972103
1995,4,18,816824
3634,4,10,1302703
1662,3,28,661153
2022,4,23,753173
3140,1,8,1016629
891,3,18,384602
2198,1,21,698634
918,2,1,439214
2836,3,23,874475
878,2,8,321397
2296,3,29,828887
2778,5,6,1152529
3565,4,5,1323163
2588,5,15,1037305
3599,2,22,1043596
2682,4,15,1038644
700,3,2,305733
2363,4,1,848700
1279,1,23,383744
3477,4,23,1102447
3604,1,26,1169335
3619,4,11,1297415
1002,1,10,271385
2954,2,18,868881
2251,5,18,970398
1304,3,17,511064
2646,4,26,988764
3231,5,8,1150599
2395,3,15,755573
3273,3,8,1118204
2070,1,17,567682
1460,2,12,538302
3160,2,27,1039361
1985,5,8,844859
3190,2,25,1045999
1528,4,14,709802
3789,2,4,1195407
1002,5,1,514028
3314,2,1,1042801
897,4,19,464711
1370,1,16,440487
3342,5,14,1278341
892,1,21,327316
706,1,16,279617
1538,1,5,429628
2381,3,9,911893
3439,3,26,1152488
1984,1,28,586439
1363,5,2,581828
3290,4,18,1069322
3812,4,6,1420386
1063,2,9,388796
1520,5,1,666292
595,3,9,239555
2423,1,25,669791
2257,2,16,727012
3032,4,13,1121260
3978,3,9,1315936
2778,3,21,847704
3296,1,13,920145
2178,4,9,895772
3742,5,11,1405931
1040,3,4,445006
1559,1,2,560124
3072,5,29,1142950
1683,4,6,757337
2222,3,14,708046
3814,5,4,1288536
3657,5,6,1297132
2319,5,19,905552
3125,3,6,1114093
3229,3,2,1169253
3104,2,18,913674
2097,4,13,880932
3560,1,9,1055718
3193,5,23,1106529
1295,2,19,395732
1551,1,13,475844
2143,2,11,819141
1863,3,1,657569
2481,5,24,915484
1854,1,22,641217
2163,1,7,598040
2029,1,25,635168
2538,1,21,752857
3919,1,15,1110057
1996,2,1,708472
3802,5,12,1335273
2737,3,26,940773
3796,3,7,1240433
1908,3,15,688511
1900,3,21,656258
1806,2,19,647796
3180,4,28,1067286
3175,5,29,1137769
1472,1,25,415671
2268,4,1,966798
1782,3,17,581251
3930,4,17,1315202
1209,5,3,555477
1979,1,12,667766
1934,1,6,585463
1148,5,26,633106
817,5,11,473258
3796,3,3,1193600
1757,1,8,498923
1183,4,14,490778
1163,2,14,339608
2498,2,10,873291
3945,5,2,1393370
2131,3,14,670583
1995,2,9,742145
3804,1,3,1163907
1636,5,21,760805
2353,4,26,759674
2020,5,8,882055
2989,4,16,1061168
1063,5,2,561234
1791,5,6,693433
3957,5,28,1427111
3958,4,21,1246181
3684,4,29,1261786
2136,5,26,926572
3499,2,25,1027324
3652,3,12,1128423
1198,3,5,417889
2660,3,2,1015033
501,4,16,247418
1141,4,5,532717
2767,2,15,881916
2089,3,12,806035
1354,3,4,461765
2259,5,15,949126
3796,4,11,1390823
2932,3,16,988779
3974,2,23,1169848
2161,2,6,818101
1653,3,14,559871
1576,4,18,555458
2207,2,12,659353
3277,5,27,1274338
2195,2,11,816135
2233,1,13,751362
1939,1,21,578364
2794,4,23,1074850
1335,3,11,532350
702,4,23,428330
3755,4,16,1332424
622,4,15,390223
900,4,21,399947
1266,5,28,534801
793,5,15,538131
2827,2,25,920875
3431,1,4,1154079
697,4,11,320343
3529,2,19,1173572
2430,1,15,724939
3299,3,4,1089528
2691,5,21,1053611
1108,1,13,263110
3772,3,22,1290056
1647,1,19,558210
686,5,2,523718
3897,5,14,1489993
3011,2,29,883291
3920,4,4,1406043
2294,1,16,766411
1159,1,21,341145
3311,3,20,1083557
3502,5,14,1210311
2455,1,27,639030
2950,5,29,988116
1869,1,15,546494
2486,2,28,821154
2034,4,3,837170
646,1,8,131935
3719,5,16,1371401
3411,2,10,1112772
2234,1,4,737347
2343,3,18,805987
988,4,2,588503
3476,1,17,992180
2459,2,13,841651
2163,3,4,707971
3098,2,26,897474
2885,2,25,883343
3419,3,11,1093601
1140,2,7,339205
2302,3,12,903333
3020,1,10,960661
2469,3,7,782606
2698,3,13,967063
1938,4,7,792976
3869,3,24,1225687
2134,3,17,850642
762,1,10,239285
2287,4,29,838554
2691,5,10,1042787
2893,1,24,824300
1123,1,4,435122
1516,5,20,596652
1380,3,4,629942
2549,2,22,773456
3444,4,7,1234557
1827,2,22,623152
2801,5,1,1044781
952,1,12,212883
3608,1,24,1018091
1683,4,13,711097
3562,1,10,1196737
2556,1,15,712970
3804,4,27,1195638
3670,4,13,1195095
2182,5,23,905826
3363,1,22,1053976
2755,1,22,742252
1654,5,21,659626
903,3,22,303719
2699,3,28,895751
2601,3,9,967589
3691,5,26,1238294
2196,1,9,736908
1127,5,15,555856
1086,5,10,636288
2148,3,24,787059
1943,2,26,626565
1945,1,25,615217
603,3,29,334902
753,2,10,287735
3798,2,8,1245632
3683,4,24,1318062
3057,1,16,1018314
1996,2,17,722347
598,3,26,327360
2700,4,27,899732
2384,1,5,701505
3461,5,4,1357409
2419,3,18,749046
1377,2,24,365687
837,2,19,225863
3369,3,4,1242937
3734,2,28,1133815
1456,4,7,689988
2204,1,10,712187
660,4,25,339353
2103,2,18,690548
3348,5,19,1141956
897,1,4,270142
1800,1,10,488099
1315,3,1,551589
2027,3,23,788268
2419,5,18,984002
1915,1,5,674581
1658,5,15,651266
1718,3,17,636800
900,3,3,398246
1139,1,12,344675
3604,4,2,1350127
3235,2,1,1050057
959,3,23,429188
1454,3,21,516716
969,4,17,543687
3946,4,22,1388930
1545,5,16,753290
3297,5,5,1161702
2193,2,15,817039
2585,2,3,928088
2777,1,28,856395
3936,5,7,1404769
1062,3,11,478761
2985,5,10,1193918
2299,3,9,863259
3854,4,14,1228355
2574,5,13,1020150
725,4,29,326994
3848,2,25,1180629
1297,2,25,443748
2831,1,2,833847
3426,5,3,1200595
1459,4,7,710068
2004,3,21,630647
952,2,18,417270
3567,2,3,1236986
1315,3,10,512460
1158,4,22,466678
1046,4,29,410877
1715,5,7,763282
3620,5,9,1320932
516,1,17,211400
3743,2,11,1282072
1743,5,7,768769
2705,4,24,1002751
3024,3,28,949981
1569,4,14,729039
3944,2,19,1300224
3065,4,4,1065298
2646,1,26,790496
2268,2,6,719339
1560,3,10,527516
2827,1,7,971698
3920,2,13,1291521
3044,3,14,985490
801,1,4,308988
680,1,8,224661
1106,2,5,394754
3670,5,1,1271746
1199,1,4,369690
1492,1,3,450410
1639,3,9,642062
690,4,8,437295
2800,2,1,971669
1480,2,27,586749
3475,5,6,1183159
2506,5,9,970316
1684,2,7,565767
3827,5,4,1305137
3894,3,13,1318698
627,2,17,331910
2565,5,28,875609
2316,2,2,712810
2258,4,28,730187
3113,1,5,1013444
1069,2,12,451155
1846,1,27,511509
2395,5,21,861018
3233,1,8,957809
1125,2,6,343851
3859,4,8,1426102
3401,5,18,1149582
2186,2,3,802650
3509,5,22,1314036
654,3,12,412947
3037,1,29,808175
1909,3,26,750226
1284,2,3,407565
3675,4,22,1337772
3964,5,6,1338202
745,1,2,183447
3747,5,23,1322940
3610,2,12,1175219
2000,5,2,824610
2205,1,6,651642
3306,2,17,1014107
1037,5,3,590665
2390,4,2,863085
2341,2,23,690528
1420,2,20,568947
2955,4,8,1133227
1024,3,22,356672
3375,1,12,987937
2029,3,26,787188
3450,5,4,1236711
535,4,5,388388
1184,3,13,456375
519,2,29,162007
2868,5,15,1027133
3059,5,25,1145902
899,3,23,368728
3201,3,16,1120612
1471,4,10,613793
2406,1,25,746949
3018,3,23,1073234
1666,3,16,526059
1615,2,12,641711
3925,5,17,1422275
1333,1,16,332749
2323,2,12,754668
3274,4,8,1172308
2482,4,20,894309
1353,3,3,504769
550,3,16,309888
1074,4,13,459295
3761,3,23,1250186
1648,1,28,459310
2697,3,19,844667
2861,5,8,1027592
3117,3,22,1015913
3913,2,5,1261036
2852,1,20,817231
2215,2,8,658385
1181,2,24,497031
1337,5,12,712478
1577,1,1,487414
3550,1,25,1030087
2991,1,21,965537
3160,1,20,1048001
3540,1,6,1198100
2811,5,22,1045298
3624,3,18,1151012
2095,2,8,794072
3551,1,7,1059943
504,3,1,244100
1626,3,21,669818
1719,2,16,622623
1273,5,12,524188
1376,4,6,573492
1491,4,20,705952
3431,3,2,1213740
3921,2,29,1203736
546,4,14,282203
3414,3,4,1157370
3370,5,1,1168168
3483,4,23,1148779
3203,3,18,1034771
768,3,13,286574
869,1,2,344353
1135,5,9,582655
1629,1,21,468553
2193,2,2,717946
2182,1,27,600278
1156,1,25,273449
619,4,9,395495
1330,3,1,535668
2310,5,11,966639
1581,1,3,508206
2474,5,20,948219
1869,1,23,657716
1240,2,26,398002
616,1,4,155603
2353,4,18,919202
3338,3,23,1154334
1650,2,6,657427
3964,1,3,1295531
2431,5,22,866095
1512,2,11,440370
2164,2,15,630293
1581,1,22,557943
1133,2,28,415165
1012,5,5,543911
3349,2,20,982269
1619,5,10,626890
1641,1,12,481124
1059,3,15,511524
987,2,17,425499
3808,3,10,1214470
1396,5,6,596997
3843,2,18,1119161
1712,4,13,745184
1203,3,3,542688
1970,2,24,629795
1080,3,10,382933
3337,2,14,1108550
3408,1,6,1000983
2794,3,3,994282
3647,4,16,1247471
653,4,7,442005
2179,5,20,918772
1496,2,14,531832
3657,3,9,1171704
3244,5,15,1292608
3856,3,21,1259874
1743,2,3,590769
1592,4,2,579010
3618,1,27,1064775
1508,4,2,735516
2641,5,3,1130687
2273,1,18,691955
1457,5,14,696968
3559,2,20,1114416
952,1,18,253845
1727,5,10,691156
3459,2,25,1136481
2765,4,2,984057
3021,2,25,873843
2979,3,29,1054190
2888,2,22,918438
1050,2,1,460796
2135,3,4,686328
1812,5,14,782256
3825,5,1,1312587
2257,2,14,792777
856,3,16,306137
2570,3,22,913554
2285,4,14,822833
3069,5,29,1194724
2281,1,20,730835
3671,5,3,1315748
3349,5,3,1153348
3751,4,9,1337876
3794,1,6,1109823
3309,4,25,1232928
2989,1,13,856334
2131,2,21,772974
3316,1,2,1055398
1515,4,8,587834
1848,5,21,731048
1015,1,2,272554
3587,1,4,1088128
3339,3,25,1023907
835,5,15,452054
2282,2,4,829058
2805,4,13,998776
996,2,28,433390
1395,5,12,597281
2707,1,28,889952
1351,1,13,521812
2187,5,14,953371
2431,1,20,700335
3237,1,18,893310
2927,1,29,814463
2068,4,28,742679
1456,4,6,716220
3238,3,29,1149756
3998,2,11,1377319
2136,5,2,940304
1791,5,28,826461
1940,5,23,872470
1691,3,19,653693
1566,4,19,613148
784,3,5,443655
2944,5,19,1109016
511,2,2,272353
2130,1,10,752965
3873,4,25,1378792
3824,4,2,1309462
3046,3,11,1076632
1253,4,18,593162
2582,5,29,934011
3274,5,24,1107577
3396,3,15,1216609
589,5,9,346911
1275,2,23,340244
3152,3,19,982595
3517,2,9,1185149
2125,1,3,616042
3569,2,21,1039351
917,1,9,306339
614,1,28,157131
1116,2,14,408912
3767,3,19,1158815
1325,5,7,708981
2149,5,16,918078
2016,1,16,672958
3646,1,28,1133248
912,3,1,382950
3947,4,4,1347525
3991,2,4,1357008
1228,1,7,390520
3848,5,8,1403289
3568,3,17,1269121
3308,2,5,1148082
1175,3,7,529630
3965,2,28,1208137
2392,2,20,747794
3004,1,29,870117
3467,3,20,1114300
2739,3,4,969548
3286,5,28,1185822
1622,5,6,802291
2071,1,7,705526
1477,1,18,507711
1508,4,5,602458
2643,5,20,964968
2187,2,29,698032
3210,3,3,1168445
3761,1,7,1228526
536,3,27,293903
3940,3,28,1198785
2048,4,22,830141
2826,5,14,1064275
2764,1,7,767482
3414,3,5,1229896
1372,1,29,483110
2321,2,22,719834
1796,4,5,791577
2609,2,23,906016
1095,1,2,349464
2403,1,27,785409
1228,5,21,595406
1865,3,22,616083
896,3,6,345192
1198,2,15,336861
3590,4,21,1235123
2724,3,10,857716
2135,5,23,893086
895,2,26,337751
2992,2,24,1016940
3804,5,7,1445060
575,4,5,454621
764,5,1,439693
3002,4,13,1010627
2319,5,21,897247
1217,5,26,637021
3282,1,18,998727
3955,2,13,1309430
1350,5,21,592003
1890,5,21,858467
643,3,18,246658
1384,2,5,459512
3640,3,13,1184670
3670,2,4,1175279
895,3,17,299934
3596,5,3,1417919
3495,5,17,1343347
3438,1,28,1001169
1992,3,11,692277
3722,4,21,1258155
1667,1,20,538479
3116,3,23,1115606
1562,3,21,578265
2656,1,26,866475
1565,5,4,680303
1709,3,2,729104
3482,5,20,1246303
2945,1,16,822812
3794,5,28,1407451
1133,2,18,421861
1656,4,8,621179
3734,3,3,1181497
1738,4,9,605411
1232,5,29,581834
734,3,20,274214
3205,5,29,1196310
1250,2,6,457333
3135,1,10,1049070
3580,3,21,1093120
3645,2,10,1213339
1453,2,13,432752
3039,3,17,1006939
3460,5,9,1302001
3824,2,17,1204775
3801,4,24,1287340
2042,2,9,743110
1697,5,9,820687
2176,5,1,806544
1691,4,2,776789
2717,2,28,897241
1916,5,16,735159
3493,3,29,1190771
3342,1,1,1049346
3181,1,10,1005206
1717,1,18,436697
2040,2,26,607093
2576,4,28,985098
3736,5,8,1369450
1945,3,21,748989
2886,3,28,1009565
2019,2,11,704656
1888,1,23,585998
2356,2,2,887033
1865,4,8,776741
999,4,27,498824
2180,5,22,768036
1010,5,8,468778
3898,4,17,1394206
716,4,15,439045
1824,4,17,774675
1655,2,28,637893
2327,4,23,889516
3641,3,24,1113100
3823,1,13,1096272
3986,4,19,1319316
2310,1,5,653538
2992,2,12,937518
3423,1,1,1120945
1705,2,23,536655
2714,3,5,913700
590,2,8,328647
1213,2,13,511233
2381,5,8,958959
538,4,25,239116
3697,4,23,1297408
672,3,11,376520
1152,3,1,395952
1253,4,13,582904
1743,5,19,711349
1581,4,24,534856
2183,5,3,885736
3023,3,24,1045470
955,1,17,252598
1328,3,5,633858
1394,3,20,540369
1884,2,21,663841
2458,2,8,847460
3572,2,26,1207554
2934,2,14,982744
2496,5,4,891140
2895,4,11,1121521
689,1,20,199002
1004,3,15,514715
1714,5,19,626338
2031,1,7,676730
3940,5,19,1413619
3980,5,28,1373376
1323,3,19,508831
1428,4,11,668126
1433,2,26,534851
1640,4,5,663532
633,3,5,285678
2605,3,22,825272
1184,3,8,447678
3219,1,10,1091125
2720,4,6,930762
2352,4,15,919955
1314,5,16,707194
1672,5,28,766092
579,5,17,345268
3433,3,8,1148990
3784,4,8,1239419
702,3,25,267769
3311,1,9,1000265
1752,5,2,849512
2199,3,15,855467
1750,3,18,623754
2182,1,3,676588
2055,2,17,771914
3973,4,4,1433923
2594,2,4,902579
1756,5,14,729188
3876,3,9,1285568
2049,1,9,582128
1666,1,25,491821
3986,4,26,1362218
1896,2,23,692847
3830,4,18,1345212
3203,3,10,1146814
970,4,21,375421
3518,1,4,999108
1535,1,12,521202
1853,5,27,802567
3283,5,8,1194921
3331,3,2,1204680
1467,2,22,440889
857,4,13,517862
3519,3,21,1089786
3979,5,16,1328559
1167,4,28,401784
872,5,2,498688
1531,4,11,669579
1645,2,10,519599
1871,3,15,779868
3223,4,17,1098993
589,1,8,271461
3245,1,18,936151
3887,4,23,1233993
3749,4,9,1273118
1039,4,25,486774
3279,1,8,1020765
1368,1,27,436751
540,4,14,425083
1239,5,28,504335
2446,5,26,1018987
3049,2,25,959771
3506,3,18,1144318
3716,5,22,1327033
1724,1,20,530851
1428,5,20,611205
2536,2,21,908826
3008,2,12,1037536
3279,3,19,1118513
3299,5,14,1190763
1424,1,17,345654
3456,1,24,959678
2081,4,21,864470
3824,1,3,1284426
889,3,26,408763
2117,3,23,707444
3430,1,7,1069946
755,1,17,179093
1208,4,12,474704
2338,1,9,794858
2444,4,15,989492
2997,4,18,1076713
509,1,21,212855
3371,2,13,1003654
1297,2,21,369290
3813,4,8,1234042
3822,1,14,1228070
1376,2,8,579843
1528,1,14,422262
3690,1,7,1227482
1515,1,23,509075
2324,5,12,948638
873,1,11,238356
3636,5,22,1296967
2693,4,22,945935
723,2,11,202916
1762,2,25,480984
2724,2,22,966592
2302,2,28,780744
1352,2,29,449839
3853,2,13,1241331
562,2,18,212618
1740,4,2,658510
3374,1,29,1084205
3342,3,21,1032426
1188,5,15,544426
1984,3,20,726868
2133,3,27,792490
2652,1,18,733645
3670,1,15,1202948
1010,1,19,305102
884,2,23,271119
904,4,24,422641
3370,2,12,1145175
1017,4,13,546360
975,4,22,485417
2500,3,11,945746
3256,3,5,1135125
2168,4,29,711737
2393,4,1,969285
3318,2,24,1105415
1960,2,3,659949
3594,3,22,1084476
3544,1,19,1026351
3224,4,23,1169883
1213,2,29,448916
582,3,7,263487
1668,2,12,557842
3656,4,15,1216647
3649,4,25,1203353
3004,5,5,1097822
2401,1,15,668110
2548,5,8,976242
550,3,10,317225
1184,2,26,313703
1216,3,16,467561
1969,4,8,842748
948,5,1,558839
1380,5,12,551590
987,5,5,578058
2323,3,3,884838
2581,4,1,938924
3919,2,4,1367671
2642,2,8,940464
3643,3,3,1277736
2074,5,10,872556
2701,1,2,799027
749,3,11,331171
1173,3,25,359968
937,4,10,478023
2665,2,21,895867
1270,3,14,575232
3877,3,7,1210490
767,5,27,432852
2484,5,27,992403
1577,1,2,513854
735,4,9,378469
888,1,16,330510
3537,5,13,1368499
1262,2,9,437664
2348,5,20,835681
2948,4,4,1030589
1123,5,22,491411
3314,4,10,1196315
3874,4,26,1218805
3466,4,26,1188118
3778,4,22,1321853
1752,4,12,799306
3400,2,17,1005810
1077,1,14,400494
2622,3,14,850469
934,1,25,213155
2650,4,2,952388
3993,2,21,1166107
1263,5,25,677600
3285,2,20,1104792
3353,4,11,1105931
1829,2,16,597507
2645,2,19,826812
3345,4,23,1117266
1858,2,6,688921
3406,3,24,1113633
2982,3,19,1094371
946,2,5,384841
2517,5,26,969285
1831,4,4,818464
748,3,15,439143
665,5,29,301850
3531,2,4,1152159
1858,5,20,735887
1519,1,10,534394
1041,3,24,438153
1258,2,22,386517
3677,4,3,1386566
2628,2,26,837484
2680,4,5,917782
1296,2,6,405254
3447,5,21,1210004
